Event Name,Subtitle/Vibe,Timing,Dress-up Guide,Venue,Content (Description),Google Maps Link,Calendar Start (IST),Calendar End (IST)
Welcome Lunch & Mayera (Groom Side),Warm Welcome & Sacred Rituals,"01:00 PM, Sunday, 5th July 2026",Bring your brightest smiles and festive style.,"InterContinental Jaipur, Sitapura","Join us for a warm welcome lunch as families come together to celebrate traditions, blessings, and the joyful beginning of our wedding festivities.",https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-05 13:00,2026-07-05 18:30
Welcome Lunch & Reetein (Bride Side),Warm Welcome & Sacred Rituals,"01:00 PM, Sunday, 5th July 2026",Dress for a beautiful afternoon of traditions and blessings.,"InterContinental Jaipur, Sitapura",Honouring cherished family traditions and sacred rituals as loved ones gather to bless the couple before the wedding celebrations begin.,https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-05 13:00,2026-07-05 18:30
Sangeet,A Symphony of Dance & Glitz,"08:00 PM, Sunday, 5th July 2026",Dress to shine and dance the night away. ✨,"Convergence Ballroom, InterContinental","An evening of music, dance, and celebration filled with dazzling performances, laughter, and unforgettable memories.",https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-05 20:00,2026-07-06 02:00
Chooda Ceremony (Bride Side),The Bride’s Sacred Adornment Ceremony,"10:00 AM, Monday, 6th July 2026",Dress with grace for a morning of love and blessings.,"InterContinental Jaipur, Sitapura","An intimate bridal ritual filled with blessings, love, and traditions that mark the beginning of a beautiful new journey.",https://maps.app.goo.gl/xH9HeSscajuxf8AV9,,
Gidda & Gossip,High Beats & Punjabi Carnival,"11:00 AM, Monday, 6th July 2026","Come dressed for dhol, gidda, and Punjabi masti.","Convergence Ballroom, InterContinental","Get ready for vibrant Punjabi beats, lively dance performances, festive games, and endless laughter under the open sky.",https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-06 11:00,2026-07-06 16:00
Sehra Bandi & Baraat Assembly,Regal Procession & Festivities,"06:30 PM, Monday, 6th July 2026",Honour the occasion in timeless Indian elegance.,"InterContinental Jaipur, Sitapura",Witness the groom’s Sehra Bandi ceremony before the Baraat gathers in celebration for a grand and joyous procession.,https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-06 18:30,2026-07-06 20:30
Baraat Welcome ,A Royal Welcome & Union of Families,"08:00 PM, Monday, 6th July 2026",Honour the occasion in timeless Indian elegance.,"Atlantis, Sitapura","Welcoming the groom and his family with music, festivities, and warm hospitality as two families come together in celebration.",https://maps.app.goo.gl/Ei2TxNS64RA7mnAS7,,
Varmala • Reception,Fairytale Union & Grand Gala,"08:30 PM, Monday, 6th July 2026",Honour the occasion in timeless Indian elegance.,"Atlantis, Sitapura","Celebrate the couple’s Varmala ceremony followed by an elegant evening of dining, music, and festivities with family and friends.",https://maps.app.goo.gl/Ei2TxNS64RA7mnAS7,2026-07-06 20:30,2026-07-07 01:30
The Pheras,Wedding Ceremony & Holy Vows,"02:00 AM, Tuesday, 7th July 2026",Traditional Sacred Attire,"Atlantis, Sitapura","The sacred wedding ceremony where the couple exchanges vows and begins their lifelong journey of love, trust, and togetherness.",https://maps.app.goo.gl/Ei2TxNS64RA7mnAS7,2026-07-07 02:00,2026-07-07 05:00
Breakfast,Morning Farewells & Feast,"08:00 AM, Tuesday, 7th July 2026",Comfortable Casuals,"InterContinental Jaipur, Sitapura","A beautiful warm morning breakfast to celebrate the newlyweds, share memories from the magical night, and bid farewell to our beloved guests with hearts full of love.",https://maps.app.goo.gl/xH9HeSscajuxf8AV9,2026-07-07 08:00,2026-07-07 10:30
